Município,Classificação de % em relação a população geral,% em relação a população geral,% em relação a população geral,População,Total Doses Aplicadas D1 + Única
FLORÍNEA,1,136,524689031,136,524689031,2653,3622
SANTO ANDRÉ,2,114,236145767,114,236145767,721368,824063
CAIUÁ,3,99,512277161,99,512277161,5946,5917
NOVA INDEPENDÊNCIA,4,98,494942018,98,494942018,4053,3992
PRESIDENTE BERNARDES,5,96,444751593,96,444751593,13023,12560
ÁLVARO DE CARVALHO,6,95,828593098,95,828593098,5274,5054
URU,7,94,275802255,94,275802255,1153,1087
ADOLFO,8,93,444006753,93,444006753,3554,3321
TAIÚVA,9,92,217828900,92,217828900,5564,5131
TURMALINA,10,91,863207547,91,863207547,1696,1558
BORÁ,11,89,021479714,89,021479714,838,746
ARCO-ÍRIS,12,87,704455725,87,704455725,1773,1555
PEDRANÓPOLIS,13,87,222893994,87,222893994,2481,2164
PARISI,14,86,721991701,86,721991701,2169,1881
SANTA CLARA D'OESTE,15,86,701372456,86,701372456,2113,1832
BERNARDINO DE CAMPOS,16,86,592579315,86,592579315,11158,9662
NOVA CANAÃ PAULISTA,17,86,447084233,86,447084233,1852,1601
ALFREDO MARCONDES,18,86,352772467,86,352772467,4184,3613
ÁGUAS DE SÃO PEDRO,19,86,225504118,86,225504118,3521,3036
TUPI PAULISTA,20,85,933388949,85,933388949,15583,13391
SANTANA DA PONTE PENSA,21,85,889570552,85,889570552,1467,1260
DOLCINÓPOLIS,22,85,653409091,85,653409091,2112,1809
SANTA RITA D'OESTE,23,85,645355850,85,645355850,2487,2130
FLORA RICA,24,85,034965035,85,034965035,1430,1216
SANTA SALETE,25,84,987113402,84,987113402,1552,1319
BOTUCATU,26,84,969283737,84,969283737,148130,125865
MENDONÇA,27,84,654088050,84,654088050,5565,4711
ÁLVARES FLORENCE,28,84,315876063,84,315876063,3647,3075
CÁSSIA DOS COQUEIROS,29,83,872255489,83,872255489,2505,2101
TRÊS FRONTEIRAS,30,83,659122085,83,659122085,5832,4879
SÃO JOÃO DO PAU D'ALHO,31,83,571428571,83,571428571,2100,1755
